duration,domain_age,updates,update_time,dnssec,registrar,nameservers,rank_score,page_rank,label
27.994524298425734,27.71252566735113,2,0.1834360027378508,0,0,4,3.86,1366365,1
22.001368925393567,21.87542778918549,1,0.9089664613278576,0,0,4,3.05,3954719,0
3.0006844626967832,2.64476386036961,2,0.013689253935660506,0,2,2,2.53,9236644,1
0.999315537303217,0.36413415468856947,1,0.36413415468856947,0,0,4,-1.0,-1,1
16.0,15.299110198494182,1,0.29842573579739906,0,0,2,4.25,333262,0
15.000684462696784,11.937029431895962,2,0.13415468856947296,-1,4,2,3.48,1863052,1
32.0,23.90965092402464,1,1.2457221081451062,0,1,2,2.53,9337015,0
28.788501026694046,28.076659822039698,1,0.39698836413415467,0,3,2,4.28,308485,0
20.0,19.619438740588638,1,0.6461327857631759,-1,0,3,2.0,26909310,0
10.001368925393566,9.648186173853524,1,1.6372347707049966,0,1,2,2.16,18917563,0
34.24229979466119,33.530458590006845,1,0.11498973305954825,1,3,5,5.1,9799,0
15.000684462696784,14.841889117043122,1,0.8815879534565366,0,3,2,2.38,12336693,1
15.000684462696784,11.937029431895962,2,0.13415468856947296,-1,4,2,3.48,1863052,1
3.0006844626967832,2.64476386036961,2,0.013689253935660506,0,2,2,2.53,9236644,1
8.0,7.945242984257358,1,0.8213552361396304,0,5,2,2.94,4686188,0
10.001368925393566,9.204654346338124,1,0.1998631074606434,0,1,4,0.53,116239281,0
12.996577686516085,12.498288843258042,2,0.5859000684462696,0,4,4,2.52,9486284,1
24.0,19.537303216974674,1,0.8542094455852156,0,0,2,4.0,1234144,0
19.000684462696782,18.792607802874745,2,0.038329911019849415,0,0,3,4.17,532323,0
22.99794661190965,16.722792607802873,1,1.9301848049281314,0,0,2,-1.0,-1,1
27.99726214921287,27.247091033538673,1,1.1991786447638604,0,0,2,4.13,714888,0
0.999315537303217,0.7529089664613279,1,0.7446954140999316,0,0,2,2.72,6754813,0
21.998631074606433,21.0403832991102,1,0.038329911019849415,0,1,2,4.16,653091,0
30.99520876112252,27.581108829568787,2,0.7008898015058179,0,4,4,10.0,4,1
30.99794661190965,29.71663244353183,1,0.7173169062286106,0,1,2,4.21,405190,0
